pathway	external_id	source	ensembl_ids
Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	path:hsa04960	KEGG	ENSG00000137731,ENSG00000117461,ENSG00000168447,ENSG00000017427,ENSG00000141506,ENSG00000176387,ENSG00000175793,ENSG00000166501,ENSG00000102882,ENSG00000254647,ENSG00000069849,ENSG00000118515,ENSG00000126583,ENSG00000051382,ENSG00000111319,ENSG00000132681,ENSG00000049759,ENSG00000163399,ENSG00000100030,ENSG00000143153,ENSG00000129244,ENSG00000151704,ENSG00000171608,ENSG00000154229,ENSG00000151623,ENSG00000171105,ENSG00000018625,ENSG00000065054,ENSG00000105647,ENSG00000121879,ENSG00000101892,ENSG00000145675,ENSG00000150201,ENSG00000105851,ENSG00000140992,ENSG00000133703,ENSG00000105409,ENSG00000169047,ENSG00000166828
DNA replication - Homo sapiens (human)	path:hsa03030	KEGG	ENSG00000104889,ENSG00000106028,ENSG00000112118,ENSG00000105486,ENSG00000136104,ENSG00000198056,ENSG00000138346,ENSG00000166508,ENSG00000035928,ENSG00000014138,ENSG00000132383,ENSG00000175482,ENSG00000133119,ENSG00000168496,ENSG00000117748,ENSG00000204086,ENSG00000148229,ENSG00000106628,ENSG00000132646,ENSG00000076003,ENSG00000073111,ENSG00000101868,ENSG00000100297,ENSG00000104738,ENSG00000100479,ENSG00000111445,ENSG00000177084,ENSG00000049541,ENSG00000172922,ENSG00000077514,ENSG00000146143,ENSG00000062822,ENSG00000171865,ENSG00000115350,ENSG00000163918,ENSG00000106399
alpha-Linolenic acid metabolism - Homo sapiens (human)	path:hsa00592	KEGG	ENSG00000123739,ENSG00000138308,ENSG00000170890,ENSG00000117215,ENSG00000188089,ENSG00000163803,ENSG00000187980,ENSG00000168970,ENSG00000184381,ENSG00000134824,ENSG00000176485,ENSG00000105499,ENSG00000060971,ENSG00000243708,ENSG00000116711,ENSG00000158786,ENSG00000069764,ENSG00000168907,ENSG00000087008,ENSG00000159337,ENSG00000161533,ENSG00000188784,ENSG00000127472,ENSG00000100078,ENSG00000188257
Arachidonic acid metabolism - Homo sapiens (human)	path:hsa00590	KEGG	ENSG00000099998,ENSG00000107317,ENSG00000123739,ENSG00000148344,ENSG00000186115,ENSG00000138308,ENSG00000012779,ENSG00000187980,ENSG00000124212,ENSG00000188089,ENSG00000170890,ENSG00000073756,ENSG00000117215,ENSG00000168970,ENSG00000161905,ENSG00000138109,ENSG00000130649,ENSG00000186529,ENSG00000134716,ENSG00000243708,ENSG00000163803,ENSG00000120915,ENSG00000059377,ENSG00000186526,ENSG00000198704,ENSG00000108839,ENSG00000155016,ENSG00000196139,ENSG00000233276,ENSG00000197408,ENSG00000213316,ENSG00000184381,ENSG00000100078,ENSG00000163106,ENSG00000159228,ENSG00000157870,ENSG00000165841,ENSG00000116157,ENSG00000105499,ENSG00000179593,ENSG00000164294,ENSG00000116711,ENSG00000148334,ENSG00000138115,ENSG00000211445,ENSG00000095303,ENSG00000158786,ENSG00000069764,ENSG00000179477,ENSG00000168907,ENSG00000111144,ENSG00000176153,ENSG00000187048,ENSG00000159337,ENSG00000224586,ENSG00000188784,ENSG00000127472,ENSG00000176485,ENSG00000159231,ENSG00000110958,ENSG00000100031,ENSG00000188257
Linoleic acid metabolism - Homo sapiens (human)	path:hsa00591	KEGG	ENSG00000130649,ENSG00000138308,ENSG00000188089,ENSG00000170890,ENSG00000117215,ENSG00000160868,ENSG00000161905,ENSG00000138109,ENSG00000123739,ENSG00000134716,ENSG00000163803,ENSG00000187980,ENSG00000168970,ENSG00000184381,ENSG00000100078,ENSG00000176485,ENSG00000165841,ENSG00000105499,ENSG00000243708,ENSG00000116711,ENSG00000138115,ENSG00000158786,ENSG00000069764,ENSG00000168907,ENSG00000159337,ENSG00000188784,ENSG00000127472,ENSG00000140505,ENSG00000188257
Tuberculosis - Homo sapiens (human)	path:hsa05152	KEGG	ENSG00000172115,ENSG00000142867,ENSG00000027697,ENSG00000147614,ENSG00000110324,ENSG00000164305,ENSG00000130592,ENSG00000137080,ENSG00000136869,ENSG00000172936,ENSG00000239732,ENSG00000117984,ENSG00000179583,ENSG00000100030,ENSG00000120910,ENSG00000188379,ENSG00000236637,ENSG00000132155,ENSG00000198668,ENSG00000178372,ENSG00000102189,ENSG00000160014,ENSG00000144566,ENSG00000188130,ENSG00000100393,ENSG00000167207,ENSG00000107643,ENSG00000173846,ENSG00000117020,ENSG00000227357,ENSG00000113013,ENSG00000125730,ENSG00000125538,ENSG00000109320,ENSG00000007171,ENSG00000064012,ENSG00000176170,ENSG00000047249,ENSG00000168040,ENSG00000156711,ENSG00000002330,ENSG00000145349,ENSG00000050748,ENSG00000134070,ENSG00000133111,ENSG00000196101,ENSG00000120242,ENSG00000070808,ENSG00000223865,ENSG00000233816,ENSG00000109339,ENSG00000102882,ENSG00000170458,ENSG00000067182,ENSG00000058404,ENSG00000221823,ENSG00000168811,ENSG00000164047,ENSG00000150337,ENSG00000160255,ENSG00000118260,ENSG00000214042,ENSG00000198001,ENSG00000072694,ENSG00000144381,ENSG00000172216,ENSG00000113302,ENSG00000165025,ENSG00000110944,ENSG00000117410,ENSG00000141068,ENSG00000185344,ENSG00000102871,ENSG00000143390,ENSG00000129988,ENSG00000179344,ENSG00000132906,ENSG00000153246,ENSG00000158869,ENSG00000203710,ENSG00000186803,ENSG00000169896,ENSG00000019582,ENSG00000140678,ENSG00000102879,ENSG00000159128,ENSG00000198502,ENSG00000162434,ENSG00000166523,ENSG00000175104,ENSG00000111012,ENSG00000204287,ENSG00000105329,ENSG00000136634,ENSG00000148660,ENSG00000197919,ENSG00000063176,ENSG00000169885,ENSG00000231389,ENSG00000071553,ENSG00000172175,ENSG00000150455,ENSG00000185386,ENSG00000185896,ENSG00000105929,ENSG00000136244,ENSG00000078142,ENSG00000110719,ENSG00000197122,ENSG00000104938,ENSG00000187796,ENSG00000003400,ENSG00000241106,ENSG00000171791,ENSG00000115008,ENSG00000196914,ENSG00000243646,ENSG00000111540,ENSG00000188386,ENSG00000228083,ENSG00000185883,ENSG00000138814,ENSG00000143933,ENSG00000066136,ENSG00000162747,ENSG00000196126,ENSG00000204257,ENSG00000120868,ENSG00000119699,ENSG00000153879,ENSG00000111424,ENSG00000242574,ENSG00000111537,ENSG00000137462,ENSG00000108774,ENSG00000237541,ENSG00000107758,ENSG00000015475,ENSG00000232810,ENSG00000120837,ENSG00000159720,ENSG00000171855,ENSG00000142208,ENSG00000096968,ENSG00000090659,ENSG00000178363,ENSG00000163131,ENSG00000112062,ENSG00000120235,ENSG00000150782,ENSG00000115415,ENSG00000005339,ENSG00000005893,ENSG00000067560,ENSG00000203747,ENSG00000092969,ENSG00000244682,ENSG00000147873,ENSG00000260314,ENSG00000147885,ENSG00000064490,ENSG00000172243,ENSG00000087088,ENSG00000011028,ENSG00000184216,ENSG00000204252,ENSG00000234829,ENSG00000143226,ENSG00000173039,ENSG00000075785,ENSG00000001167,ENSG00000033627,ENSG00000174125,ENSG00000104312,ENSG00000196735,ENSG00000174130,ENSG00000105221
Terpenoid backbone biosynthesis - Homo sapiens (human)	path:hsa00900	KEGG	ENSG00000075239,ENSG00000168522,ENSG00000113161,ENSG00000067064,ENSG00000084073,ENSG00000134240,ENSG00000148459,ENSG00000257365,ENSG00000110921,ENSG00000173653,ENSG00000160752,ENSG00000153989,ENSG00000167508,ENSG00000148377,ENSG00000117682,ENSG00000112972,ENSG00000164494,ENSG00000152904,ENSG00000116005,ENSG00000163344,ENSG00000116237,ENSG00000120437
Collecting duct acid secretion - Homo sapiens (human)	path:hsa04966	KEGG	ENSG00000184908,ENSG00000171130,ENSG00000151418,ENSG00000114573,ENSG00000105675,ENSG00000147614,ENSG00000250565,ENSG00000186009,ENSG00000113732,ENSG00000004939,ENSG00000116039,ENSG00000105929,ENSG00000110719,ENSG00000159720,ENSG00000155097,ENSG00000104267,ENSG00000113504,ENSG00000136888,ENSG00000128524,ENSG00000143882,ENSG00000185344,ENSG00000213760,ENSG00000100554,ENSG00000131100,ENSG00000185883,ENSG00000147416,ENSG00000033627
Protein digestion and absorption - Homo sapiens (human)	path:hsa04974	KEGG	ENSG00000104783,ENSG00000049089,ENSG00000204248,ENSG00000122121,ENSG00000163399,ENSG00000141086,ENSG00000197467,ENSG00000196549,ENSG00000118160,ENSG00000229183,ENSG00000183023,ENSG00000215704,ENSG00000010438,ENSG00000123643,ENSG00000206384,ENSG00000142173,ENSG00000158516,ENSG00000169436,ENSG00000108821,ENSG00000105409,ENSG00000137731,ENSG00000130234,ENSG00000134871,ENSG00000080618,ENSG00000112394,ENSG00000088386,ENSG00000275896,ENSG00000197565,ENSG00000080573,ENSG00000130635,ENSG00000155465,ENSG00000188153,ENSG00000106688,ENSG00000138079,ENSG00000101892,ENSG00000153002,ENSG00000204291,ENSG00000112818,ENSG00000142156,ENSG00000256713,ENSG00000134294,ENSG00000142789,ENSG00000172752,ENSG00000081052,ENSG00000100678,ENSG00000229859,ENSG00000169031,ENSG00000092068,ENSG00000219073,ENSG00000163751,ENSG00000105281,ENSG00000132681,ENSG00000143153,ENSG00000129244,ENSG00000124749,ENSG00000111799,ENSG00000163359,ENSG00000066230,ENSG00000114270,ENSG00000187498,ENSG00000049540,ENSG00000187955,ENSG00000168925,ENSG00000168003,ENSG00000141434,ENSG00000174358,ENSG00000065618,ENSG00000123500,ENSG00000197635,ENSG00000060718,ENSG00000092758,ENSG00000171502,ENSG00000175538,ENSG00000069849,ENSG00000142615,ENSG00000137509,ENSG00000091704,ENSG00000204262,ENSG00000115474,ENSG00000053918,ENSG00000018625,ENSG00000139219,ENSG00000164626,ENSG00000204983,ENSG00000164692,ENSG00000182871,ENSG00000196739,ENSG00000112280,ENSG00000168542,ENSG00000021488
Renin secretion - Homo sapiens (human)	path:hsa04924	KEGG	ENSG00000159640,ENSG00000016490,ENSG00000072062,ENSG00000172572,ENSG00000143839,ENSG00000061918,ENSG00000178372,ENSG00000125384,ENSG00000165059,ENSG00000164733,ENSG00000152270,ENSG00000143933,ENSG00000087460,ENSG00000160014,ENSG00000157388,ENSG00000123104,ENSG00000152402,ENSG00000240583,ENSG00000123360,ENSG00000221823,ENSG00000144891,ENSG00000169885,ENSG00000101333,ENSG00000118260,ENSG00000120910,ENSG00000183943,ENSG00000081248,ENSG00000151067,ENSG00000154678,ENSG00000173175,ENSG00000102001,ENSG00000163485,ENSG00000198668,ENSG00000138814,ENSG00000156052,ENSG00000127955,ENSG00000149782,ENSG00000107758,ENSG00000065135,ENSG00000188778,ENSG00000178363,ENSG00000123700,ENSG00000174233,ENSG00000138669,ENSG00000114353,ENSG00000142875,ENSG00000188386,ENSG00000150995,ENSG00000078549,ENSG00000182621,ENSG00000156113,ENSG00000137975,ENSG00000115252,ENSG00000096433,ENSG00000043591,ENSG00000141433,ENSG00000016602,ENSG00000164116,ENSG00000135744,ENSG00000169252,ENSG00000171522,ENSG00000276045,ENSG00000151617,ENSG00000137841,ENSG00000169418
Rap1 signaling pathway - Homo sapiens (human)	path:hsa04015	KEGG	ENSG00000185386,ENSG00000254647,ENSG00000087258,ENSG00000184349,ENSG00000117461,ENSG00000141506,ENSG00000066468,ENSG00000102981,ENSG00000160867,ENSG00000243364,ENSG00000076864,ENSG00000138798,ENSG00000168036,ENSG00000064547,ENSG00000145431,ENSG00000019991,ENSG00000129682,ENSG00000160271,ENSG00000197461,ENSG00000169242,ENSG00000169032,ENSG00000039068,ENSG00000126583,ENSG00000137076,ENSG00000132155,ENSG00000198668,ENSG00000075388,ENSG00000115825,ENSG00000198121,ENSG00000160014,ENSG00000006607,ENSG00000065135,ENSG00000188130,ENSG00000102466,ENSG00000150630,ENSG00000078295,ENSG00000117020,ENSG00000121281,ENSG00000145675,ENSG00000182621,ENSG00000118972,ENSG00000213281,ENSG00000109756,ENSG00000105976,ENSG00000068078,ENSG00000113721,ENSG00000259207,ENSG00000184009,ENSG00000197555,ENSG00000156711,ENSG00000183454,ENSG00000102755,ENSG00000169750,ENSG00000146648,ENSG00000138675,ENSG00000126934,ENSG00000091428,ENSG00000120318,ENSG00000173175,ENSG00000141293,ENSG00000169860,ENSG00000163558,ENSG00000102678,ENSG00000166501,ENSG00000116991,ENSG00000102882,ENSG00000170425,ENSG00000156427,ENSG00000184304,ENSG00000067560,ENSG00000160255,ENSG00000169220,ENSG00000077782,ENSG00000112715,ENSG00000174775,ENSG00000100311,ENSG00000001631,ENSG00000154188,ENSG00000070087,ENSG00000107263,ENSG00000154229,ENSG00000161958,ENSG00000043462,ENSG00000148498,ENSG00000124181,ENSG00000121879,ENSG00000070388,ENSG00000114353,ENSG00000125753,ENSG00000079337,ENSG00000140285,ENSG00000142627,ENSG00000005844,ENSG00000105851,ENSG00000169896,ENSG00000111241,ENSG00000101333,ENSG00000127533,ENSG00000005961,ENSG00000176884,ENSG00000100030,ENSG00000196570,ENSG00000125968,ENSG00000128340,ENSG00000037280,ENSG00000170962,ENSG00000137841,ENSG00000162104,ENSG00000134853,ENSG00000138193,ENSG00000105738,ENSG00000165197,ENSG00000124171,ENSG00000017427,ENSG00000113578,ENSG00000162344,ENSG00000137801,ENSG00000158815,ENSG00000118432,ENSG00000087460,ENSG00000127314,ENSG00000105287,ENSG00000051382,ENSG00000108984,ENSG00000034152,ENSG00000169885,ENSG00000099617,ENSG00000213658,ENSG00000149782,ENSG00000266094,ENSG00000049130,ENSG00000196468,ENSG00000140443,ENSG00000120156,ENSG00000164742,ENSG00000151276,ENSG00000091879,ENSG00000186895,ENSG00000081026,ENSG00000176732,ENSG00000127955,ENSG00000082074,ENSG00000197122,ENSG00000160293,ENSG00000114279,ENSG00000157404,ENSG00000178363,ENSG00000174233,ENSG00000107831,ENSG00000167193,ENSG00000138685,ENSG00000119630,ENSG00000133703,ENSG00000184574,ENSG00000067606,ENSG00000128271,ENSG00000147145,ENSG00000198561,ENSG00000136238,ENSG00000130396,ENSG00000184371,ENSG00000171914,ENSG00000136237,ENSG00000068831,ENSG00000173511,ENSG00000155897,ENSG00000178372,ENSG00000171051,ENSG00000158186,ENSG00000078579,ENSG00000273079,ENSG00000143933,ENSG00000128512,ENSG00000171517,ENSG00000077420,ENSG00000070193,ENSG00000156299,ENSG00000050820,ENSG00000142208,ENSG00000128052,ENSG00000171608,ENSG00000187391,ENSG00000112062,ENSG00000182578,ENSG00000156052,ENSG00000171105,ENSG00000064300,ENSG00000105550,ENSG00000158987,ENSG00000105647,ENSG00000178184,ENSG00000116473,ENSG00000138031,ENSG00000150093,ENSG00000126458,ENSG00000108518,ENSG00000152689,ENSG00000006451,ENSG00000181104,ENSG00000129467,ENSG00000070831,ENSG00000144118,ENSG00000157764,ENSG00000134259,ENSG00000099942,ENSG00000101280,ENSG00000149295,ENSG00000143590,ENSG00000213445,ENSG00000075624,ENSG00000105221
Shigellosis - Homo sapiens (human)	path:hsa05131	KEGG	ENSG00000131508,ENSG00000134318,ENSG00000131504,ENSG00000184009,ENSG00000015285,ENSG00000150093,ENSG00000158195,ENSG00000085733,ENSG00000109339,ENSG00000102882,ENSG00000104825,ENSG00000241685,ENSG00000035403,ENSG00000275895,ENSG00000107643,ENSG00000163466,ENSG00000097007,ENSG00000026508,ENSG00000155849,ENSG00000169429,ENSG00000100030,ENSG00000057663,ENSG00000185386,ENSG00000213341,ENSG00000130429,ENSG00000167207,ENSG00000136238,ENSG00000116670,ENSG00000161265,ENSG00000104365,ENSG00000112062,ENSG00000167193,ENSG00000176732,ENSG00000100906,ENSG00000106299,ENSG00000197122,ENSG00000188130,ENSG00000112290,ENSG00000161638,ENSG00000166167,ENSG00000136950,ENSG00000269335,ENSG00000102890,ENSG00000241553,ENSG00000108518,ENSG00000070087,ENSG00000109320,ENSG00000062598,ENSG00000177105,ENSG00000070831,ENSG00000067900,ENSG00000111229,ENSG00000072803,ENSG00000180353,ENSG00000099942,ENSG00000160201,ENSG00000196570,ENSG00000173039,ENSG00000075624,ENSG00000162704,ENSG00000156711,ENSG00000050748,ENSG00000150760,ENSG00000106100,ENSG00000104312
Amphetamine addiction - Homo sapiens (human)	path:hsa05031	KEGG	ENSG00000184845,ENSG00000105464,ENSG00000165059,ENSG00000069535,ENSG00000070808,ENSG00000173175,ENSG00000107175,ENSG00000178372,ENSG00000145349,ENSG00000273079,ENSG00000143933,ENSG00000060566,ENSG00000106089,ENSG00000087460,ENSG00000160014,ENSG00000157388,ENSG00000148660,ENSG00000177606,ENSG00000221823,ENSG00000213676,ENSG00000189221,ENSG00000072062,ENSG00000169885,ENSG00000183454,ENSG00000118260,ENSG00000120910,ENSG00000183943,ENSG00000178363,ENSG00000151067,ENSG00000142319,ENSG00000198576,ENSG00000170345,ENSG00000116032,ENSG00000058404,ENSG00000198668,ENSG00000138814,ENSG00000128272,ENSG00000120251,ENSG00000096717,ENSG00000126583,ENSG00000107758,ENSG00000036565,ENSG00000198785,ENSG00000182158,ENSG00000165646,ENSG00000157613,ENSG00000142875,ENSG00000188386,ENSG00000146592,ENSG00000115966,ENSG00000180176,ENSG00000125675,ENSG00000152578,ENSG00000116478,ENSG00000101327,ENSG00000143578,ENSG00000132437,ENSG00000161509,ENSG00000186298,ENSG00000155511,ENSG00000213639,ENSG00000154229,ENSG00000176884,ENSG00000125740,ENSG00000172531,ENSG00000131771,ENSG00000152495,ENSG00000166501
Ras signaling pathway - Homo sapiens (human)	path:hsa04014	KEGG	ENSG00000134954,ENSG00000112715,ENSG00000254647,ENSG00000117461,ENSG00000141506,ENSG00000145675,ENSG00000160867,ENSG00000111664,ENSG00000165527,ENSG00000117215,ENSG00000177885,ENSG00000138798,ENSG00000145431,ENSG00000019991,ENSG00000129682,ENSG00000078369,ENSG00000197461,ENSG00000169242,ENSG00000187980,ENSG00000183943,ENSG00000169032,ENSG00000149269,ENSG00000213281,ENSG00000198668,ENSG00000075388,ENSG00000173511,ENSG00000148082,ENSG00000160014,ENSG00000141068,ENSG00000104365,ENSG00000102466,ENSG00000111344,ENSG00000171552,ENSG00000150630,ENSG00000070831,ENSG00000117020,ENSG00000109458,ENSG00000066468,ENSG00000069764,ENSG00000118972,ENSG00000109320,ENSG00000105976,ENSG00000068078,ENSG00000113721,ENSG00000156427,ENSG00000196712,ENSG00000075391,ENSG00000170890,ENSG00000002330,ENSG00000050748,ENSG00000183454,ENSG00000102755,ENSG00000169750,ENSG00000146648,ENSG00000072062,ENSG00000138675,ENSG00000107643,ENSG00000168907,ENSG00000113319,ENSG00000243364,ENSG00000102678,ENSG00000109339,ENSG00000069966,ENSG00000145715,ENSG00000102882,ENSG00000105499,ENSG00000197283,ENSG00000097007,ENSG00000184481,ENSG00000067560,ENSG00000266094,ENSG00000077264,ENSG00000077782,ENSG00000144837,ENSG00000174775,ENSG00000100311,ENSG00000136238,ENSG00000154188,ENSG00000186469,ENSG00000179295,ENSG00000176533,ENSG00000154229,ENSG00000126583,ENSG00000161958,ENSG00000114450,ENSG00000188089,ENSG00000124181,ENSG00000121879,ENSG00000070388,ENSG00000155903,ENSG00000115904,ENSG00000144566,ENSG00000158786,ENSG00000183735,ENSG00000140285,ENSG00000142627,ENSG00000157404,ENSG00000119630,ENSG00000105808,ENSG00000111241,ENSG00000184349,ENSG00000176884,ENSG00000100030,ENSG00000197943,ENSG00000157557,ENSG00000127920,ENSG00000160271,ENSG00000037280,ENSG00000170962,ENSG00000137843,ENSG00000127928,ENSG00000171777,ENSG00000172575,ENSG00000134853,ENSG00000165197,ENSG00000017427,ENSG00000113578,ENSG00000162344,ENSG00000237441,ENSG00000162188,ENSG00000158815,ENSG00000089234,ENSG00000127314,ENSG00000105122,ENSG00000051382,ENSG00000112685,ENSG00000169885,ENSG00000099617,ENSG00000126934,ENSG00000213658,ENSG00000168243,ENSG00000152689,ENSG00000196468,ENSG00000140443,ENSG00000120156,ENSG00000091879,ENSG00000186895,ENSG00000184381,ENSG00000100078,ENSG00000176485,ENSG00000017797,ENSG00000114279,ENSG00000178363,ENSG00000165059,ENSG00000116711,ENSG00000111540,ENSG00000107831,ENSG00000138685,ENSG00000269335,ENSG00000105851,ENSG00000158186,ENSG00000101349,ENSG00000159337,ENSG00000132155,ENSG00000058335,ENSG00000188784,ENSG00000100485,ENSG00000172380,ENSG00000138193,ENSG00000162924,ENSG00000143322,ENSG00000130396,ENSG00000166501,ENSG00000184371,ENSG00000167414,ENSG00000101109,ENSG00000136237,ENSG00000188257,ENSG00000068831,ENSG00000185634,ENSG00000133703,ENSG00000180370,ENSG00000123739,ENSG00000117560,ENSG00000178372,ENSG00000160691,ENSG00000130669,ENSG00000078579,ENSG00000273079,ENSG00000143933,ENSG00000167083,ENSG00000148680,ENSG00000129219,ENSG00000070193,ENSG00000156299,ENSG00000168970,ENSG00000142208,ENSG00000115085,ENSG00000172354,ENSG00000128052,ENSG00000171608,ENSG00000033327,ENSG00000126767,ENSG00000182578,ENSG00000068028,ENSG00000171105,ENSG00000064300,ENSG00000105550,ENSG00000174021,ENSG00000243708,ENSG00000127588,ENSG00000171435,ENSG00000105647,ENSG00000075651,ENSG00000116473,ENSG00000242616,ENSG00000129946,ENSG00000128340,ENSG00000126458,ENSG00000142875,ENSG00000138308,ENSG00000049130,ENSG00000006451,ENSG00000133818,ENSG00000143590,ENSG00000127472,ENSG00000144118,ENSG00000134259,ENSG00000143344,ENSG00000101280,ENSG00000213341,ENSG00000173039,ENSG00000170667,ENSG00000174791,ENSG00000108774,ENSG00000185989,ENSG00000105221
Salivary secretion - Homo sapiens (human)	path:hsa04970	KEGG	ENSG00000198838,ENSG00000061918,ENSG00000039987,ENSG00000104783,ENSG00000187908,ENSG00000187733,ENSG00000150995,ENSG00000101333,ENSG00000134551,ENSG00000109743,ENSG00000183943,ENSG00000126583,ENSG00000198668,ENSG00000160014,ENSG00000149782,ENSG00000142875,ENSG00000078295,ENSG00000121281,ENSG00000182621,ENSG00000120907,ENSG00000165125,ENSG00000105409,ENSG00000101439,ENSG00000072062,ENSG00000173175,ENSG00000205649,ENSG00000166501,ENSG00000004468,ENSG00000164047,ENSG00000220205,ENSG00000064651,ENSG00000154229,ENSG00000157087,ENSG00000137731,ENSG00000170367,ENSG00000170369,ENSG00000101892,ENSG00000101441,ENSG00000161798,ENSG00000164742,ENSG00000043591,ENSG00000174876,ENSG00000126550,ENSG00000117983,ENSG00000164116,ENSG00000137841,ENSG00000162104,ENSG00000165059,ENSG00000170373,ENSG00000231887,ENSG00000143153,ENSG00000087460,ENSG00000123104,ENSG00000132681,ENSG00000169885,ENSG00000126549,ENSG00000129244,ENSG00000067842,ENSG00000251655,ENSG00000138669,ENSG00000188778,ENSG00000178363,ENSG00000174233,ENSG00000171873,ENSG00000156113,ENSG00000164889,ENSG00000058668,ENSG00000089250,ENSG00000167419,ENSG00000163399,ENSG00000155897,ENSG00000170214,ENSG00000178372,ENSG00000133019,ENSG00000143933,ENSG00000185532,ENSG00000069849,ENSG00000152402,ENSG00000171195,ENSG00000070961,ENSG00000156052,ENSG00000096433,ENSG00000090020,ENSG00000018625,ENSG00000237763,ENSG00000138031,ENSG00000129467,ENSG00000169252,ENSG00000090382,ENSG00000121335
Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	path:hsa00290	KEGG	ENSG00000139410,ENSG00000105552,ENSG00000135094,ENSG00000060982
Pancreatic secretion - Homo sapiens (human)	path:hsa04972	KEGG	ENSG00000041353,ENSG00000138308,ENSG00000091138,ENSG00000117215,ENSG00000182621,ENSG00000150995,ENSG00000101333,ENSG00000141086,ENSG00000109743,ENSG00000187980,ENSG00000126583,ENSG00000144935,ENSG00000170835,ENSG00000149782,ENSG00000074370,ENSG00000078295,ENSG00000121281,ENSG00000069764,ENSG00000016602,ENSG00000187021,ENSG00000001626,ENSG00000158516,ENSG00000105409,ENSG00000080293,ENSG00000103769,ENSG00000080618,ENSG00000173175,ENSG00000240038,ENSG00000170890,ENSG00000275896,ENSG00000067560,ENSG00000064651,ENSG00000154229,ENSG00000157087,ENSG00000137731,ENSG00000004468,ENSG00000196296,ENSG00000101892,ENSG00000153002,ENSG00000158786,ENSG00000164742,ENSG00000163399,ENSG00000142789,ENSG00000188257,ENSG00000163394,ENSG00000137841,ENSG00000162104,ENSG00000162341,ENSG00000219073,ENSG00000129244,ENSG00000163751,ENSG00000087460,ENSG00000127314,ENSG00000123104,ENSG00000266200,ENSG00000132681,ENSG00000143153,ENSG00000198626,ENSG00000067842,ENSG00000105514,ENSG00000174437,ENSG00000174233,ENSG00000156113,ENSG00000164889,ENSG00000243480,ENSG00000168925,ENSG00000188784,ENSG00000100078,ENSG00000058668,ENSG00000136238,ENSG00000166501,ENSG00000016490,ENSG00000155897,ENSG00000123739,ENSG00000133019,ENSG00000175535,ENSG00000069849,ENSG00000142615,ENSG00000091704,ENSG00000010438,ENSG00000137975,ENSG00000053918,ENSG00000156052,ENSG00000096433,ENSG00000090020,ENSG00000018625,ENSG00000167461,ENSG00000104267,ENSG00000116473,ENSG00000138031,ENSG00000215704,ENSG00000080493,ENSG00000204983,ENSG00000129467,ENSG00000127472,ENSG00000070961
