pathway	source	metabolites
Pantoprazole Action Pathway	SMPDB	kegg:C11806,kegg:C00282,kegg:C00288,kegg:C00698,kegg:C00001,kegg:C00011,kegg:C00080,kegg:C00038,kegg:C00002,kegg:C00238,kegg:C00008,kegg:C00009,kegg:C00388,kegg:C01996
Rabeprazole Action Pathway	SMPDB	kegg:C07864,kegg:C00282,kegg:C00288,kegg:C00698,kegg:C00001,kegg:C00011,kegg:C00080,kegg:C00038,kegg:C00002,kegg:C00238,kegg:C00008,kegg:C00009,kegg:C00388,kegg:C01996
Xanthine Dehydrogenase Deficiency (Xanthinuria)	SMPDB	kegg:C01261,kegg:C00001,kegg:C00044,kegg:C00144,kegg:C00035,kegg:C00002,kegg:C00008,kegg:C00305,kegg:C00009,kegg:C00076,kegg:C00361,kegg:C00286,kegg:C00362,kegg:C00330,kegg:C00013,kegg:C00242,kegg:C00119,kegg:C00387,kegg:C00620,kegg:C00672,kegg:C00385,kegg:C00014,kegg:C00038,kegg:C00301,kegg:C00020,kegg:C00117,kegg:C03090,kegg:C00025,kegg:C00064,kegg:C00037,kegg:C03838,kegg:C00234,kegg:C00101,kegg:C04376,kegg:C04640,kegg:C03373,kegg:C04751,kegg:C00011,kegg:C00049,kegg:C04823,kegg:C00122,kegg:C04677,kegg:C04734,kegg:C00130,kegg:C00655,kegg:C00003,kegg:C00004,kegg:C00238,kegg:C00006,kegg:C00005,kegg:C01762,kegg:C00294,kegg:C00262,kegg:C00007,kegg:C00027,kegg:C00016,kegg:C00366,kegg:C05512,kegg:C03794,kegg:C00212,kegg:C00147,kegg:C00559,kegg:C00575,kegg:C00206,kegg:C00360,kegg:C00131,kegg:C06194,kegg:C00032,kegg:C00104,kegg:C00081,kegg:C04051,chebi:33114,kegg:C14819
Methionine Adenosyltransferase Deficiency	SMPDB	kegg:C00101,kegg:C00065,kegg:C00143,kegg:C00037,kegg:C00001,kegg:C00018,kegg:C00004,kegg:C00440,kegg:C00003,kegg:C00016,kegg:C05330,kegg:C00073,kegg:C00038,kegg:C00263,kegg:C02291,kegg:C00097,kegg:C00109,kegg:C00019,kegg:C00021,kegg:C00213,kegg:C01137,kegg:C00011,kegg:C00134,kegg:C00170,kegg:C00315,kegg:C00009,kegg:C04188,kegg:C00212,kegg:C00114,kegg:C00719,kegg:C01026,kegg:C00007,kegg:C01180,kegg:C00014,kegg:C00027,kegg:C00002,kegg:C00020,kegg:C00013,kegg:C00234,chebi:49033,kegg:C00305,kegg:C00238
Glycine N-methyltransferase Deficiency	SMPDB	kegg:C00101,kegg:C00065,kegg:C00143,kegg:C00037,kegg:C00001,kegg:C00018,kegg:C00004,kegg:C00440,kegg:C00003,kegg:C00016,kegg:C05330,kegg:C00073,kegg:C00038,kegg:C00263,kegg:C02291,kegg:C00097,kegg:C00109,kegg:C00019,kegg:C00021,kegg:C00213,kegg:C01137,kegg:C00011,kegg:C00134,kegg:C00170,kegg:C00315,kegg:C00009,kegg:C04188,kegg:C00212,kegg:C00114,kegg:C00719,kegg:C01026,kegg:C00007,kegg:C01180,kegg:C00014,kegg:C00027,kegg:C00002,kegg:C00020,kegg:C00013,kegg:C00234,chebi:49033,kegg:C00305,kegg:C00238
Non Ketotic Hyperglycinemia	SMPDB	kegg:C01888,kegg:C00007,kegg:C00001,kegg:C00014,kegg:C00027,kegg:C00546,kegg:C00016,kegg:C00003,kegg:C00022,kegg:C00004,kegg:C03508,kegg:C00011,kegg:C00024,kegg:C00037,kegg:C00010,kegg:C00018,kegg:C01026,kegg:C00067,kegg:C00213,kegg:C16241,kegg:C00101,kegg:C02147,kegg:C00143,kegg:C00065,kegg:C00168,kegg:C00041,kegg:C00048,kegg:C00062,kegg:C00581,kegg:C01103,kegg:C00021,kegg:C00019,kegg:C00300,kegg:C00091,kegg:C00430,kegg:C00719,kegg:C05330,kegg:C00073,kegg:C00038,kegg:C00258,kegg:C00002,kegg:C00597,kegg:C00008,kegg:C03232,kegg:C00025,kegg:C01005,kegg:C00026,kegg:C00009,kegg:C00305,kegg:C00020,kegg:C00013,kegg:C00740,kegg:C02291,kegg:C00097,kegg:C00109
Esomeprazole Action Pathway	SMPDB	kegg:D07917,kegg:C00080,kegg:C00288,kegg:C00698,kegg:C00001,kegg:C00011,kegg:C00038,kegg:C00002,kegg:C00238,kegg:C00008,kegg:C00009,kegg:C00388,kegg:C01996
Omeprazole Action Pathway	SMPDB	kegg:C07324,kegg:C00282,kegg:C00288,kegg:C00698,kegg:C00001,kegg:C00011,kegg:C00080,kegg:C00038,kegg:C00002,kegg:C00238,kegg:C00008,kegg:C00009,kegg:C00388,kegg:C01996
Lansoprazole Action Pathway	SMPDB	kegg:C01594,kegg:C00080,kegg:C00288,kegg:C00698,kegg:C00001,kegg:C00011,kegg:C00038,kegg:C00002,kegg:C00238,kegg:C00008,kegg:C00009,kegg:C00388,kegg:C01996
Mexiletine Action Pathway	SMPDB	kegg:C07220,kegg:C01330,kegg:C00238,kegg:C00076,kegg:C00002,kegg:C00001,kegg:C00008,kegg:C00009,kegg:C00305,kegg:C01245
Lidocaine (Antiarrhythmic) Action Pathway	SMPDB	kegg:C07073,kegg:C16560,kegg:C16561,kegg:C16572,kegg:C11004,kegg:C16569,kegg:C16571,kegg:C16570,kegg:C00007,kegg:C00005,kegg:C00080,kegg:C00001,kegg:C00006,kegg:C00032,kegg:C00004,kegg:C00067,kegg:C00003,kegg:C01330,kegg:C00238,kegg:C00076,kegg:C00002,kegg:C00008,kegg:C00009,kegg:C00305,kegg:C01245
Congenital Bile Acid Synthesis Defect Type III	SMPDB	kegg:C05451,kegg:C00003,kegg:C05452,kegg:C00006,kegg:C05455,kegg:C00005,kegg:C00007,kegg:C05444,kegg:C00001,kegg:C00032,kegg:C05445,kegg:C00002,kegg:C00010,kegg:C04644,kegg:C00013,kegg:C01367,kegg:C05447,kegg:C00016,kegg:C05448,kegg:C05337,kegg:C00100,kegg:C00245,kegg:C05465,kegg:C00037,kegg:C05466,kegg:C01921,kegg:C00695,kegg:C02528,kegg:C03594,kegg:C00004,kegg:C17339,kegg:C00187,kegg:C02530,kegg:C00249,kegg:C05453,kegg:C05454,kegg:C05446,kegg:C05468,kegg:C01301,kegg:C04722,kegg:C05467,kegg:C00008,kegg:C05460,kegg:C05450,kegg:C01794,kegg:C05122,kegg:C13550,kegg:C15519,kegg:C15520,chebi:76591,kegg:C06341,kegg:C17333,kegg:C17335,kegg:C17337,kegg:C02592,kegg:C15557,kegg:C03990,kegg:C05463,kegg:C05464,kegg:C04483,kegg:C00023,kegg:C17336
Lysosomal Acid Lipase Deficiency (Wolman Disease)	SMPDB	kegg:C00024,kegg:C00332,kegg:C00010,kegg:C00001,kegg:C00356,kegg:C00418,kegg:C00002,kegg:C01107,kegg:C00008,kegg:C01143,kegg:C00009,kegg:C00129,kegg:C00011,kegg:C00235,kegg:C00305,kegg:C00341,kegg:C00013,kegg:C00448,kegg:C00005,kegg:C00751,kegg:C00006,kegg:C00007,kegg:C01054,kegg:C00016,kegg:C01724,kegg:C05109,kegg:C11455,kegg:C00058,kegg:C00032,kegg:C05108,kegg:C15915,kegg:C15808,kegg:C00023,kegg:C15816,kegg:C05103,kegg:C05437,kegg:C05439,kegg:C03845,kegg:C01189,kegg:C05107,kegg:C01164,kegg:C00187,kegg:C01802,kegg:C05443,kegg:C00249
Senescence and Autophagy in Cancer	Wikipathways	chebi:84244
Phenylalanine and Tyrosine Metabolism	SMPDB	kegg:C00079,kegg:C00026,kegg:C00166,kegg:C00025,kegg:C00018,kegg:C00001,kegg:C00007,kegg:C00014,kegg:C00027,kegg:C00016,kegg:C00272,kegg:C00082,kegg:C15522,kegg:C14818,kegg:C01179,kegg:C00002,kegg:C00020,kegg:C00013,kegg:C00544,kegg:C00011,kegg:C14819,kegg:C01036,kegg:C00023,kegg:C01061,kegg:C00164,kegg:C00122,kegg:C00076,kegg:C00305
Ammonia Recycling	SMPDB	kegg:C00065,kegg:C00022,kegg:C00014,kegg:C00018,kegg:C00152,kegg:C00001,kegg:C00049,kegg:C00002,kegg:C00064,kegg:C00020,kegg:C00013,kegg:C00025,kegg:C00135,kegg:C00785,kegg:C00011,kegg:C00008,kegg:C00009,kegg:C00169,kegg:C00120,kegg:C00305,kegg:C00003,kegg:C00026,kegg:C00004,kegg:C00101,kegg:C02147,kegg:C00143,kegg:C16241,kegg:C00016,kegg:C00037
Glycine and Serine Metabolism	SMPDB	kegg:C01888,kegg:C00007,kegg:C00001,kegg:C00014,kegg:C00027,kegg:C00546,kegg:C00016,kegg:C00003,kegg:C00022,kegg:C00004,kegg:C03508,kegg:C00011,kegg:C00024,kegg:C00037,kegg:C00010,kegg:C00018,kegg:C01026,kegg:C00067,kegg:C00213,kegg:C16241,kegg:C00101,kegg:C02147,kegg:C00143,kegg:C00065,kegg:C00168,kegg:C00041,kegg:C00048,kegg:C00062,kegg:C00581,kegg:C01103,kegg:C00021,kegg:C00019,kegg:C00300,kegg:C00091,kegg:C00430,kegg:C00719,kegg:C05330,kegg:C00073,kegg:C00038,kegg:C00258,kegg:C00002,kegg:C00597,kegg:C00008,kegg:C03232,kegg:C00025,kegg:C01005,kegg:C00026,kegg:C00009,kegg:C00305,kegg:C00020,kegg:C00013,kegg:C00740,kegg:C02291,kegg:C00097,kegg:C00109
Pterine Biosynthesis	SMPDB	kegg:C05922,kegg:C00001,kegg:C05923,kegg:C00058,kegg:C00038,kegg:C00044,kegg:C06148,kegg:C04895,kegg:C03684,kegg:C00404,kegg:C00006,kegg:C00005,kegg:C04244,kegg:C00835,kegg:C04874,kegg:C00272,kegg:C05926,kegg:C02953,kegg:C00003,kegg:C00004
Tyrosine Metabolism	SMPDB	kegg:C00082,kegg:C00026,kegg:C01179,kegg:C00025,kegg:C00018,kegg:C00049,kegg:C00036,kegg:C00007,kegg:C00544,kegg:C00011,kegg:C14819,kegg:C01036,kegg:C01061,kegg:C00001,kegg:C00164,kegg:C00122,kegg:C00076,kegg:C00305,kegg:C00483,kegg:C05581,kegg:C00006,kegg:C00642,kegg:C00005,kegg:C03758,kegg:C00070,kegg:C00072,kegg:C00547,chebi:17242,kegg:C00113,kegg:C00355,kegg:C00272,kegg:C15522,kegg:C00822,kegg:C05604,kegg:C01693,kegg:C05578,kegg:C05579,kegg:C05606,kegg:C04185,kegg:C00038,kegg:C05589,kegg:C00019,kegg:C00021,kegg:C00788,kegg:C05577,kegg:C00014,kegg:C00027,kegg:C00016,kegg:C00218,kegg:C05588,kegg:C05583,kegg:C00003,kegg:C05580,kegg:C00004,kegg:C00080,kegg:C05584,kegg:C05576,kegg:C05587,kegg:C04043,kegg:C01161,kegg:C05582,kegg:C00023,kegg:C05350,chebi:36076,kegg:C01502,kegg:C00090,kegg:C05594
Beta-Alanine Metabolism	SMPDB	kegg:C01262,kegg:C00001,kegg:C00099,kegg:C01152,kegg:C00038,kegg:C00386,kegg:C00135,kegg:C00049,kegg:C00011,kegg:C00018,kegg:C02642,kegg:C00014,kegg:C00429,kegg:C00006,kegg:C00106,kegg:C00005,kegg:C00016,kegg:C00061,kegg:C00026,kegg:C00222,kegg:C00025,kegg:C00010,kegg:C00003,kegg:C00024,kegg:C00004,kegg:C05665,kegg:C00080,kegg:C00986,kegg:C00007,kegg:C00027,kegg:C00070,kegg:C00076,chebi:36076,kegg:C00864
Citrullinemia Type I	SMPDB	kegg:C00064,kegg:C00041,kegg:C00026,kegg:C00025,kegg:C00022,kegg:C00018,kegg:C00001,kegg:C00014,kegg:C00003,kegg:C00004,kegg:C00002,kegg:C00011,kegg:C00008,kegg:C00009,kegg:C00169,kegg:C00049,kegg:C00036,kegg:C00077,kegg:C00327,kegg:C00062,kegg:C00086,kegg:C19610,kegg:C03406,kegg:C00122,kegg:C00020,kegg:C00013,kegg:C00076
Carbamoyl Phosphate Synthetase Deficiency	SMPDB	kegg:C00064,kegg:C00041,kegg:C00026,kegg:C00025,kegg:C00022,kegg:C00018,kegg:C00001,kegg:C00014,kegg:C00003,kegg:C00004,kegg:C00002,kegg:C00011,kegg:C00008,kegg:C00009,kegg:C00169,kegg:C00049,kegg:C00036,kegg:C00077,kegg:C00327,kegg:C00062,kegg:C00086,kegg:C19610,kegg:C03406,kegg:C00122,kegg:C00020,kegg:C00013,kegg:C00076
Argininosuccinic Aciduria	SMPDB	kegg:C00064,kegg:C00041,kegg:C00026,kegg:C00025,kegg:C00022,kegg:C00018,kegg:C00001,kegg:C00014,kegg:C00003,kegg:C00004,kegg:C00002,kegg:C00011,kegg:C00008,kegg:C00009,kegg:C00169,kegg:C00049,kegg:C00036,kegg:C00077,kegg:C00327,kegg:C00062,kegg:C00086,kegg:C19610,kegg:C03406,kegg:C00122,kegg:C00020,kegg:C00013,kegg:C00076
Olmesartan Action Pathway	SMPDB	chebi:48416,kegg:C00873,kegg:C02135,kegg:C00038,kegg:C00698,kegg:C01780,kegg:C00840
Losartan Action Pathway	SMPDB	kegg:C07072,kegg:C00873,kegg:C02135,kegg:C00038,kegg:C00698,kegg:C01780,kegg:C00840
Irbesartan Action Pathway	SMPDB	kegg:C07469,kegg:C00873,kegg:C02135,kegg:C00038,kegg:C00698,kegg:C01780,kegg:C00840
Forasartan Action Pathway	SMPDB	kegg:C00873,kegg:C02135,kegg:C00038,kegg:C00698,kegg:C01780,kegg:C00840
Adenylosuccinate Lyase Deficiency	SMPDB	kegg:C01261,kegg:C00001,kegg:C00044,kegg:C00144,kegg:C00035,kegg:C00002,kegg:C00008,kegg:C00305,kegg:C00009,kegg:C00076,kegg:C00361,kegg:C00286,kegg:C00362,kegg:C00330,kegg:C00013,kegg:C00242,kegg:C00119,kegg:C00387,kegg:C00620,kegg:C00672,kegg:C00385,kegg:C00014,kegg:C00038,kegg:C00301,kegg:C00020,kegg:C00117,kegg:C03090,kegg:C00025,kegg:C00064,kegg:C00037,kegg:C03838,kegg:C00234,kegg:C00101,kegg:C04376,kegg:C04640,kegg:C03373,kegg:C04751,kegg:C00011,kegg:C00049,kegg:C04823,kegg:C00122,kegg:C04677,kegg:C04734,kegg:C00130,kegg:C00655,kegg:C00003,kegg:C00004,kegg:C00238,kegg:C00006,kegg:C00005,kegg:C01762,kegg:C00294,kegg:C00262,kegg:C00007,kegg:C00027,kegg:C00016,kegg:C00366,kegg:C05512,kegg:C03794,kegg:C00212,kegg:C00147,kegg:C00559,kegg:C00575,kegg:C00206,kegg:C00360,kegg:C00131,kegg:C06194,kegg:C00032,kegg:C00104,kegg:C00081,kegg:C04051,chebi:33114,kegg:C14819
Valsartan Action Pathway	SMPDB	kegg:D00400,kegg:C00873,kegg:C02135,kegg:C00038,kegg:C00698,kegg:C01780,kegg:C00840
Telmisartan Action Pathway	SMPDB	kegg:C07710,kegg:C00873,kegg:C02135,kegg:C00038,kegg:C00698,kegg:C01780,kegg:C00840
Alkaptonuria	SMPDB	kegg:C00082,kegg:C00026,kegg:C01179,kegg:C00025,kegg:C00018,kegg:C00049,kegg:C00036,kegg:C00007,kegg:C00544,kegg:C00011,kegg:C14819,kegg:C01036,kegg:C01061,kegg:C00001,kegg:C00164,kegg:C00122,kegg:C00076,kegg:C00305,kegg:C00483,kegg:C05581,kegg:C00006,kegg:C00642,kegg:C00005,kegg:C03758,kegg:C00070,kegg:C00072,kegg:C00547,chebi:17242,kegg:C00113,kegg:C00355,kegg:C00272,kegg:C15522,kegg:C00822,kegg:C05604,kegg:C01693,kegg:C05578,kegg:C05579,kegg:C05606,kegg:C04185,kegg:C00038,kegg:C05589,kegg:C00019,kegg:C00021,kegg:C00788,kegg:C05577,kegg:C00014,kegg:C00027,kegg:C00016,kegg:C00218,kegg:C05588,kegg:C05583,kegg:C00003,kegg:C05580,kegg:C00004,kegg:C00080,kegg:C05584,kegg:C05576,kegg:C05587,kegg:C04043,kegg:C01161,kegg:C05582,kegg:C00023,kegg:C05350,chebi:36076,kegg:C01502,kegg:C00090,kegg:C05594
AICA-Ribosiduria	SMPDB	kegg:C01261,kegg:C00001,kegg:C00044,kegg:C00144,kegg:C00035,kegg:C00002,kegg:C00008,kegg:C00305,kegg:C00009,kegg:C00076,kegg:C00361,kegg:C00286,kegg:C00362,kegg:C00330,kegg:C00013,kegg:C00242,kegg:C00119,kegg:C00387,kegg:C00620,kegg:C00672,kegg:C00385,kegg:C00014,kegg:C00038,kegg:C00301,kegg:C00020,kegg:C00117,kegg:C03090,kegg:C00025,kegg:C00064,kegg:C00037,kegg:C03838,kegg:C00234,kegg:C00101,kegg:C04376,kegg:C04640,kegg:C03373,kegg:C04751,kegg:C00011,kegg:C00049,kegg:C04823,kegg:C00122,kegg:C04677,kegg:C04734,kegg:C00130,kegg:C00655,kegg:C00003,kegg:C00004,kegg:C00238,kegg:C00006,kegg:C00005,kegg:C01762,kegg:C00294,kegg:C00262,kegg:C00007,kegg:C00027,kegg:C00016,kegg:C00366,kegg:C05512,kegg:C03794,kegg:C00212,kegg:C00147,kegg:C00559,kegg:C00575,kegg:C00206,kegg:C00360,kegg:C00131,kegg:C06194,kegg:C00032,kegg:C00104,kegg:C00081,kegg:C04051,chebi:33114,kegg:C14819
Quinidine Action Pathway	SMPDB	kegg:C06527,kegg:C01330,kegg:C00238,kegg:C00076,kegg:C00002,kegg:C00001,kegg:C00008,kegg:C00009,kegg:C00305,kegg:C01245
Primary hyperoxaluria II, PH2	SMPDB	kegg:C00002,kegg:C00022,kegg:C00288,kegg:C00008,kegg:C00009,kegg:C00036,kegg:C00120,kegg:C19610,kegg:C00186,kegg:C00003,kegg:C00004,kegg:C00080,kegg:C00074,kegg:C00305,kegg:C00238,kegg:C00044,kegg:C00035,kegg:C00011,kegg:C00149,kegg:C00256,kegg:C00016,kegg:C03451,kegg:C00001,kegg:C00051,kegg:C00038,kegg:C00546,kegg:C00937,kegg:C00424,kegg:C00282,kegg:C00583,kegg:C00006,kegg:C00005,kegg:C00248,kegg:C16255,kegg:C00579,kegg:C00010,kegg:C00024,kegg:C00083,kegg:C00332,kegg:C00033,kegg:C00227,kegg:C00084,kegg:C05993,kegg:C00013,kegg:C00020,kegg:C00068
Sotalol Action Pathway	SMPDB	kegg:C07309,kegg:C01330,kegg:C00238,kegg:C00076,kegg:C00002,kegg:C00001,kegg:C00008,kegg:C00009,kegg:C00305,kegg:C01245
Pyruvate kinase deficiency	SMPDB	kegg:C00002,kegg:C00022,kegg:C00288,kegg:C00008,kegg:C00009,kegg:C00036,kegg:C00120,kegg:C19610,kegg:C00186,kegg:C00003,kegg:C00004,kegg:C00080,kegg:C00074,kegg:C00305,kegg:C00238,kegg:C00044,kegg:C00035,kegg:C00011,kegg:C00149,kegg:C00256,kegg:C00016,kegg:C03451,kegg:C00001,kegg:C00051,kegg:C00038,kegg:C00546,kegg:C00937,kegg:C00424,kegg:C00282,kegg:C00583,kegg:C00006,kegg:C00005,kegg:C00248,kegg:C16255,kegg:C00579,kegg:C00010,kegg:C00024,kegg:C00083,kegg:C00332,kegg:C00033,kegg:C00227,kegg:C00084,kegg:C05993,kegg:C00013,kegg:C00020,kegg:C00068
Epinephrine Action Pathway	SMPDB	kegg:C00788,kegg:C01330,kegg:C00238,kegg:C00076,kegg:C00002,kegg:C00001,kegg:C00008,kegg:C00009,kegg:C00305,kegg:C01245
Acetaminophen  Action Pathway	SMPDB	kegg:C06804,kegg:C00032,kegg:C04853,kegg:C05950,kegg:C02165,kegg:C00005,kegg:C00007,kegg:C00006,kegg:C00001,kegg:C00909,kegg:C00038,kegg:C05949,kegg:C00051,kegg:C02166,kegg:C05951,kegg:C00025,kegg:C14815,kegg:C05966,kegg:C04742,kegg:C00127,kegg:C05958,kegg:C14717,kegg:C05961,kegg:C05962,kegg:C04805,kegg:C14732,kegg:C05957,kegg:C01312,kegg:C00696,kegg:C00427,kegg:C05959,kegg:C02198,kegg:C00584,kegg:C00639,kegg:C05953,kegg:C05955,kegg:C05963,kegg:C05954,kegg:C05964,kegg:C00219,kegg:C14819,kegg:C14813,kegg:C14814,kegg:C14781,kegg:C14782,kegg:C14778,kegg:C14771,kegg:C14775,kegg:C00305,kegg:C14770,kegg:C14774,kegg:C05356,kegg:C00076,kegg:C05956,kegg:C14769,kegg:C14773,kegg:C14768,kegg:C14772,kegg:C14823,kegg:C14749,kegg:C14812,kegg:C14776,kegg:C13809,kegg:C14748,kegg:C05965,kegg:C14822,kegg:C14807,kegg:C14777,kegg:C00157,kegg:C04230,kegg:C14795,kegg:C14794
Tobramycin Action Pathway	SMPDB	kegg:C00397,kegg:C00002,kegg:C00020,kegg:C00013,kegg:C00044,kegg:C00063,kegg:C00075,kegg:C00144,kegg:C00055,kegg:C00105,kegg:C00041,kegg:C00148,kegg:C00183,kegg:C00152,kegg:C00188,kegg:C00123,kegg:C00740,kegg:C00073,kegg:C00135,kegg:C00407
Tigecycline Action Pathway	SMPDB	kegg:C12012,kegg:C00002,kegg:C00020,kegg:C00013,kegg:C00044,kegg:C00063,kegg:C00075,kegg:C00144,kegg:C00055,kegg:C00105,kegg:C00041,kegg:C00148,kegg:C00183,kegg:C00152,kegg:C00188,kegg:C00123,kegg:C00740,kegg:C00073,kegg:C00135,kegg:C00407
Arbekacin Action Pathway	SMPDB	kegg:D07462,kegg:C00002,kegg:C00020,kegg:C00013,kegg:C00044,kegg:C00063,kegg:C00075,kegg:C00144,kegg:C00055,kegg:C00105,kegg:C00041,kegg:C00148,kegg:C00183,kegg:C00152,kegg:C00188,kegg:C00123,kegg:C00740,kegg:C00073,kegg:C00135,kegg:C00407
Paromomycin Action Pathway	SMPDB	kegg:C00832,kegg:C00002,kegg:C00020,kegg:C00013,kegg:C00044,kegg:C00063,kegg:C00075,kegg:C00144,kegg:C00055,kegg:C00105,kegg:C00041,kegg:C00148,kegg:C00183,kegg:C00152,kegg:C00188,kegg:C00123,kegg:C00740,kegg:C00073,kegg:C00135,kegg:C00407
Methylhistidine Metabolism	SMPDB	kegg:C00019,kegg:C00135,kegg:C00021,kegg:C01152
Thyroid hormone synthesis	SMPDB	kegg:C01330,kegg:C00708,kegg:C02515,kegg:C00027,kegg:C00001,kegg:C01060,kegg:C00076,kegg:C00016,kegg:C00032,kegg:C02465,kegg:C02218,kegg:C01829,kegg:C00082
Apparent mineralocorticoid excess syndrome	SMPDB	kegg:C05473,kegg:C00005,kegg:C05474,kegg:C00006,kegg:C01780,kegg:C01124,kegg:C00007,kegg:C00001,kegg:C00032,kegg:C02140,kegg:C05475,kegg:C05476,kegg:C05490,kegg:C05477,kegg:C05478,kegg:C00080,kegg:C05498,kegg:C05497,kegg:C00735,kegg:C00762,kegg:C03205,kegg:C05485,kegg:C00003,kegg:C00004,kegg:C00410,kegg:C01953,kegg:C01176,kegg:C05488,kegg:C05138,kegg:C05487,kegg:C05501,kegg:C02373,kegg:C05499,kegg:C05502,kegg:C00187,kegg:C05500,kegg:C05469,chebi:17650,kegg:C05471,kegg:C05472,kegg:C05489,kegg:C03681,kegg:C05480
3-Beta-Hydroxysteroid Dehydrogenase Deficiency	SMPDB	kegg:C05473,kegg:C00005,kegg:C05474,kegg:C00006,kegg:C01780,kegg:C01124,kegg:C00007,kegg:C00001,kegg:C00032,kegg:C02140,kegg:C05475,kegg:C05476,kegg:C05490,kegg:C05477,kegg:C05478,kegg:C00080,kegg:C05498,kegg:C05497,kegg:C00735,kegg:C00762,kegg:C03205,kegg:C05485,kegg:C00003,kegg:C00004,kegg:C00410,kegg:C01953,kegg:C01176,kegg:C05488,kegg:C05138,kegg:C05487,kegg:C05501,kegg:C02373,kegg:C05499,kegg:C05502,kegg:C00187,kegg:C05500,kegg:C05469,chebi:17650,kegg:C05471,kegg:C05472,kegg:C05489,kegg:C03681,kegg:C05480
2-aminoadipic 2-oxoadipic aciduria	SMPDB	kegg:C00047,kegg:C00005,kegg:C00026,kegg:C00449,kegg:C00006,kegg:C00001,kegg:C00003,chebi:17027,kegg:C00025,kegg:C00004,kegg:C00956,kegg:C00322,kegg:C00018,kegg:C00527,kegg:C00877,kegg:C03561,kegg:C00332,kegg:C00024,kegg:C00010,chebi:49015,kegg:C00408,kegg:C00007,kegg:C00027,kegg:C00016,kegg:C00011,kegg:C00068,kegg:C00248
Ethacrynic Acid Action Pathway	SMPDB	kegg:D00313,kegg:C00698,kegg:C01330,kegg:C00238,kegg:C00001,kegg:C00086,kegg:C00288,kegg:C01780,kegg:C00097
Celecoxib Action Pathway	SMPDB	kegg:C07589,kegg:C00038,kegg:C00007,kegg:C00005,kegg:C00080,kegg:C00001,kegg:C00006,kegg:C00032,kegg:C00167,kegg:C00015,kegg:C04853,kegg:C05950,kegg:C02165,kegg:C00909,kegg:C05949,kegg:C00051,kegg:C02166,kegg:C05951,kegg:C00025,kegg:C14815,kegg:C05966,kegg:C04742,kegg:C00127,kegg:C05958,kegg:C14717,kegg:C05961,kegg:C05962,kegg:C04805,kegg:C14732,kegg:C05957,kegg:C01312,kegg:C00696,kegg:C00427,kegg:C05959,kegg:C02198,kegg:C00584,kegg:C00639,kegg:C05953,kegg:C05955,kegg:C05963,kegg:C05954,kegg:C05964,kegg:C00219,kegg:C14819,kegg:C14813,kegg:C14814,kegg:C14781,kegg:C14782,kegg:C14778,kegg:C14771,kegg:C14775,kegg:C00305,kegg:C14770,kegg:C14774,kegg:C05356,kegg:C00076,kegg:C05956,kegg:C14769,kegg:C14773,kegg:C14768,kegg:C14772,kegg:C14823,kegg:C14749,kegg:C14812,kegg:C14776,kegg:C13809,kegg:C14748,kegg:C05965,kegg:C14822,kegg:C14807,kegg:C14777,kegg:C00157,kegg:C04230,kegg:C14795,kegg:C14794
Alendronate Action Pathway	SMPDB	kegg:C07752,kegg:C00305,kegg:C00024,kegg:C00332,kegg:C00010,kegg:C00001,kegg:C00356,kegg:C00418,kegg:C00002,kegg:C01107,kegg:C00008,kegg:C01143,kegg:C00009,kegg:C00129,kegg:C00011,kegg:C00235,kegg:C00341,kegg:C00013,kegg:C00448,kegg:C00005,kegg:C00751,kegg:C00006,kegg:C00007,kegg:C01054,kegg:C00016,kegg:C01724,kegg:C05109,kegg:C11455,kegg:C00058,kegg:C00032,kegg:C05108,kegg:C15915,kegg:C15808,kegg:C00023,kegg:C15816,kegg:C05103,kegg:C05437,kegg:C05439,kegg:C03845,kegg:C01189,kegg:C05107,kegg:C01164,kegg:C00187,kegg:C01802,kegg:C05443,kegg:C00249
2-ketoglutarate dehydrogenase complex deficiency	SMPDB	kegg:C00022,kegg:C00010,kegg:C00003,kegg:C00024,kegg:C00011,kegg:C00004,kegg:C00068,kegg:C00248,kegg:C00016,kegg:C00001,kegg:C00036,kegg:C00158,kegg:C00417,kegg:C00311,kegg:C00026,kegg:C00080,kegg:C00305,kegg:C00091,kegg:C00009,kegg:C00035,kegg:C00042,kegg:C00044,kegg:C00122,kegg:C00149,kegg:C00002,kegg:C00288,kegg:C00008,kegg:C00120,kegg:C19610,kegg:C11378,kegg:C00390,kegg:C01352,chebi:33723
Diltiazem Action Pathway	SMPDB	kegg:C06958,kegg:C01330,kegg:C00238,kegg:C00076,kegg:C00002,kegg:C00001,kegg:C00008,kegg:C00009,kegg:C00305,kegg:C01245
Propranolol Action Pathway	SMPDB	kegg:C07407,kegg:C01330,kegg:C00238,kegg:C00076,kegg:C00002,kegg:C00001,kegg:C00008,kegg:C00009,kegg:C00305,kegg:C01245
