SET_ID	Metabolites	Pathways
SET_139	ADP;C14:0_LPC_C8-pos;C14:0_LPC_HILIC-pos;C16:0_LPC;C16:1_CE;C16:1_CE_+NH4;C16:1_LPC_C8-pos;C16:1_LPC_HILIC-pos;C16:1_LPC_plasmalogen;C18:0_CE;C18:0_CE_+NH4;C18:0_LPC_C8-pos;C18:0_LPC_HILIC-pos;C18:0_LPC_isomer;C18:1_LPC_C8-pos;C18:1_LPC_HILIC-pos;C18:1_LPC_isomer;C18:1_LPC_plasmalogen;C18:1_LPC_plasmalogen_isomer;C18:2_LPC_C8-pos;C18:2_LPC_HILIC-pos;C18:2_LPC_isomer;C18:3_CE;C18:3_CE_+NH4;C20:3_CE;C20:3_CE_+NH4;C20:3_LPC;C20:4_CE;C20:4_CE_+NH4;C20:4_LPC_C8-pos;C20:4_LPC_HILIC-pos;C20:5_CE;C20:5_CE_+NH4;C20:5_LPC;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4;C22:6_LPC_C8-pos;C22:6_LPC_HILIC-pos;C30:0_PC;C30:1_PC;C32:0_DAG;C32:0_DAG_+NH4;C32:0_PC;C32:1_DAG;C32:1_DAG_+NH4;C32:1_PC;C32:2_DAG;C32:2_PC;C34:0_DAG;C34:0_DAG_+NH4;C34:0_PC;C34:1_PC;C34:2_DAG;C34:2_DAG_+NH4;C34:2_PC;C34:3_DAG;C34:3_DAG_+NH4;C34:3_PC;C34:4_PC;C36:0_DAG;C36:0_DAG_+NH4;C36:0_PC;C36:1_PC;C36:2_DAG;C36:2_DAG_+NH4;C36:2_PC;C36:3_DAG;C36:3_DAG_+NH4;C36:3_PC;C36:4_DAG;C36:4_DAG_+NH4;C36:4_PC-A;C36:4_PC-B;C38:2_PC;C38:3_PC;C38:4_DAG;C38:4_DAG_+NH4;C38:4_PC;C38:6_PC;C40:10_PC;C40:6_PC;C40:9_PC;C48:1_TAG;C48:1_TAG_+NH4;C48:2_TAG;C48:2_TAG_+NH4;C50:0_TAG;C50:0_TAG_+NH4;C50:1_TAG;C50:1_TAG_+NH4;C50:2_TAG;C50:2_TAG_+NH4;C50:3_TAG;C50:3_TAG_+NH4;C50:4_TAG;C50:4_TAG_+NH4;C51:2_TAG;C51:2_TAG_+NH4;C52:0_TAG;C52:0_TAG_+NH4;C52:1_TAG;C52:1_TAG_+NH4;C52:2_TAG;C52:2_TAG_+NH4;C52:3_TAG;C52:3_TAG_+NH4;C52:4_TAG;C52:4_TAG_+NH4;C52:5_TAG;C52:6_TAG;C52:6_TAG_+NH4;C54:1_TAG;C54:1_TAG_+NH4;C54:2_TAG;C54:2_TAG_+NH4;C54:3_TAG;C54:3_TAG_+NH4;C54:4_TAG;C54:4_TAG_+NH4;C54:5_TAG;C54:6_TAG;C54:7_TAG;C54:7_TAG_+NH4;C56:1_TAG;C56:1_TAG_+NH4;C56:2_TAG;C56:2_TAG_+NH4;C56:3_TAG;C56:3_TAG_+NH4;C56:4_TAG;C56:4_TAG_+NH4;C56:5_TAG;C56:5_TAG_+NH4;C56:6_TAG;C56:6_TAG_+NH4;C56:7_TAG;C56:7_TAG_+NH4;C56:8_TAG;C56:8_TAG_+NH4;C56:9_TAG;C56:9_TAG_+NH4;C58:10_TAG;C58:10_TAG_+NH4;C58:6_TAG;C58:6_TAG_+NH4;C58:7_TAG;C58:7_TAG_+NH4;C58:8_TAG;C58:8_TAG_+NH4;C58:9_TAG;C58:9_TAG_+NH4;C60:12_TAG;C60:12_TAG_+NH4;Chenodeoxycholate;Cholate;Glycochenodeoxycholate;Glycocholate;glycocholate;Palmitic_acid;Taurochenodeoxycholate	Wikipathways:Lipid digestion, mobilization, and transport|Reactome:Lipid digestion, mobilization, and transport
SET_140	ADP;C14:0_LPC_C8-pos;C14:0_LPC_HILIC-pos;C16:0_LPC;C16:1_CE;C16:1_CE_+NH4;C16:1_LPC_C8-pos;C16:1_LPC_HILIC-pos;C16:1_LPC_plasmalogen;C18:0_CE;C18:0_CE_+NH4;C18:0_LPC_C8-pos;C18:0_LPC_HILIC-pos;C18:0_LPC_isomer;C18:1_LPC_C8-pos;C18:1_LPC_HILIC-pos;C18:1_LPC_isomer;C18:1_LPC_plasmalogen;C18:1_LPC_plasmalogen_isomer;C18:2_LPC_C8-pos;C18:2_LPC_HILIC-pos;C18:2_LPC_isomer;C18:3_CE;C18:3_CE_+NH4;C20:3_CE;C20:3_CE_+NH4;C20:3_LPC;C20:4_CE;C20:4_CE_+NH4;C20:4_LPC_C8-pos;C20:4_LPC_HILIC-pos;C20:5_CE;C20:5_CE_+NH4;C20:5_LPC;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4;C22:6_LPC_C8-pos;C22:6_LPC_HILIC-pos;C30:0_PC;C30:1_PC;C32:0_PC;C32:1_PC;C32:2_PC;C34:0_PC;C34:1_PC;C34:2_PC;C34:3_PC;C34:4_PC;C36:0_PC;C36:1_PC;C36:2_PC;C36:3_PC;C36:4_PC-A;C36:4_PC-B;C38:2_PC;C38:3_PC;C38:4_PC;C38:6_PC;C40:10_PC;C40:6_PC;C40:9_PC;C48:1_TAG;C48:1_TAG_+NH4;C48:2_TAG;C48:2_TAG_+NH4;C50:0_TAG;C50:0_TAG_+NH4;C50:1_TAG;C50:1_TAG_+NH4;C50:2_TAG;C50:2_TAG_+NH4;C50:3_TAG;C50:3_TAG_+NH4;C50:4_TAG;C50:4_TAG_+NH4;C51:2_TAG;C51:2_TAG_+NH4;C52:0_TAG;C52:0_TAG_+NH4;C52:1_TAG;C52:1_TAG_+NH4;C52:2_TAG;C52:2_TAG_+NH4;C52:3_TAG;C52:3_TAG_+NH4;C52:4_TAG;C52:4_TAG_+NH4;C52:5_TAG;C52:6_TAG;C52:6_TAG_+NH4;C54:1_TAG;C54:1_TAG_+NH4;C54:2_TAG;C54:2_TAG_+NH4;C54:3_TAG;C54:3_TAG_+NH4;C54:4_TAG;C54:4_TAG_+NH4;C54:5_TAG;C54:6_TAG;C54:7_TAG;C54:7_TAG_+NH4;C56:1_TAG;C56:1_TAG_+NH4;C56:2_TAG;C56:2_TAG_+NH4;C56:3_TAG;C56:3_TAG_+NH4;C56:4_TAG;C56:4_TAG_+NH4;C56:5_TAG;C56:5_TAG_+NH4;C56:6_TAG;C56:6_TAG_+NH4;C56:7_TAG;C56:7_TAG_+NH4;C56:8_TAG;C56:8_TAG_+NH4;C56:9_TAG;C56:9_TAG_+NH4;C58:10_TAG;C58:10_TAG_+NH4;C58:6_TAG;C58:6_TAG_+NH4;C58:7_TAG;C58:7_TAG_+NH4;C58:8_TAG;C58:8_TAG_+NH4;C58:9_TAG;C58:9_TAG_+NH4;C60:12_TAG;C60:12_TAG_+NH4	Reactome:HDL-mediated lipid transport
SET_141	ADP;C16:0_Ceramide_(d18:1);C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C20:0_SM;C22:0_Ceramide_(d18:1);C22:0_SM;C22:1_SM;C24:0_Ceramide_(d18:1);C24:1_Ceramide_(d18:1);C24:1_SM;C30:0_PC;C30:1_PC;C32:0_DAG;C32:0_DAG_+NH4;C32:0_PC;C32:1_DAG;C32:1_DAG_+NH4;C32:1_PC;C32:2_DAG;C32:2_PC;C34:0_DAG;C34:0_DAG_+NH4;C34:0_PC;C34:1_PC;C34:2_DAG;C34:2_DAG_+NH4;C34:2_PC;C34:3_DAG;C34:3_DAG_+NH4;C34:3_PC;C34:4_PC;C36:0_DAG;C36:0_DAG_+NH4;C36:0_PC;C36:1_PC;C36:2_DAG;C36:2_DAG_+NH4;C36:2_PC;C36:3_DAG;C36:3_DAG_+NH4;C36:3_PC;C36:4_DAG;C36:4_DAG_+NH4;C36:4_PC-A;C36:4_PC-B;C38:2_PC;C38:3_PC;C38:4_DAG;C38:4_DAG_+NH4;C38:4_PC;C38:6_PC;C40:10_PC;C40:6_PC;C40:9_PC;phosphocholine;phosphoethanolamine;serine;Sphinganine;Sphingosine_1-Phosphate;sphingosine_C8-pos;sphingosine_HILIC-pos	Wikipathways:Sphingolipid metabolism
SET_142	ADP;C16:0_Ceramide_(d18:1);C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C20:0_SM;C22:0_Ceramide_(d18:1);C22:0_SM;C22:1_SM;C24:0_Ceramide_(d18:1);C24:1_Ceramide_(d18:1);C24:1_SM;C30:0_PC;C30:1_PC;C32:0_DAG;C32:0_DAG_+NH4;C32:0_PC;C32:1_DAG;C32:1_DAG_+NH4;C32:1_PC;C32:2_DAG;C32:2_PC;C34:0_DAG;C34:0_DAG_+NH4;C34:0_PC;C34:1_PC;C34:2_DAG;C34:2_DAG_+NH4;C34:2_PC;C34:3_DAG;C34:3_DAG_+NH4;C34:3_PC;C34:4_PC;C36:0_DAG;C36:0_DAG_+NH4;C36:0_PC;C36:1_PC;C36:2_DAG;C36:2_DAG_+NH4;C36:2_PC;C36:3_DAG;C36:3_DAG_+NH4;C36:3_PC;C36:4_DAG;C36:4_DAG_+NH4;C36:4_PC-A;C36:4_PC-B;C38:2_PC;C38:3_PC;C38:4_DAG;C38:4_DAG_+NH4;C38:4_PC;C38:6_PC;C40:10_PC;C40:6_PC;C40:9_PC;phosphocholine;phosphoethanolamine;serine;Sphinganine;Sphingosine_1-Phosphate;sphingosine_C8-pos;sphingosine_HILIC-pos;Stearic_acid	Reactome:Sphingolipid metabolism
SET_143	ADP;C16:0_Ceramide_(d18:1);C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C20:0_SM;C22:0_Ceramide_(d18:1);C22:0_SM;C22:1_SM;C24:0_Ceramide_(d18:1);C24:1_Ceramide_(d18:1);C24:1_SM;C30:0_PC;C30:1_PC;C32:0_DAG;C32:0_DAG_+NH4;C32:0_PC;C32:1_DAG;C32:1_DAG_+NH4;C32:1_PC;C32:2_DAG;C32:2_PC;C34:0_DAG;C34:0_DAG_+NH4;C34:0_PC;C34:1_PC;C34:2_DAG;C34:2_DAG_+NH4;C34:2_PC;C34:3_DAG;C34:3_DAG_+NH4;C34:3_PC;C34:4_PC;C36:0_DAG;C36:0_DAG_+NH4;C36:0_PC;C36:1_PC;C36:2_DAG;C36:2_DAG_+NH4;C36:2_PC;C36:3_DAG;C36:3_DAG_+NH4;C36:3_PC;C36:4_DAG;C36:4_DAG_+NH4;C36:4_PC-A;C36:4_PC-B;C38:2_PC;C38:3_PC;C38:4_DAG;C38:4_DAG_+NH4;C38:4_PC;C38:6_PC;C40:10_PC;C40:6_PC;C40:9_PC;phosphoethanolamine;serine;Sphinganine;Sphingosine_1-Phosphate;sphingosine_C8-pos;sphingosine_HILIC-pos;Stearic_acid	Reactome:Sphingolipid de novo biosynthesis
SET_144	ADP;C16:0_Ceramide_(d18:1);C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C20:0_SM;C22:0_Ceramide_(d18:1);C22:0_SM;C22:1_SM;C24:0_Ceramide_(d18:1);C24:1_Ceramide_(d18:1);C24:1_SM;C30:0_PC;C30:1_PC;C32:0_PC;C32:1_PC;C32:2_PC;C34:0_PC;C34:1_PC;C34:2_PC;C34:3_PC;C34:4_PC;C36:0_PC;C36:1_PC;C36:2_PC;C36:3_PC;C36:4_PC-A;C36:4_PC-B;C38:2_PC;C38:3_PC;C38:4_PC;C38:6_PC;C40:10_PC;C40:6_PC;C40:9_PC;phosphocholine;phosphoethanolamine;serine;Sphinganine;Sphingosine_1-Phosphate;sphingosine_C8-pos;sphingosine_HILIC-pos	SMPDB:Gaucher Disease|SMPDB:Fabry disease|SMPDB:Sphingolipid Metabolism|SMPDB:Globoid Cell Leukodystrophy|SMPDB:Metachromatic Leukodystrophy (MLD)|SMPDB:Krabbe disease
SET_145	ADP;C16:0_Ceramide_(d18:1);C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C20:0_SM;C22:0_Ceramide_(d18:1);C22:0_SM;C22:1_SM;C24:0_Ceramide_(d18:1);C24:1_Ceramide_(d18:1);C24:1_SM;GDP;phosphocholine	Reactome:p75 NTR receptor-mediated signalling|Wikipathways:Signalling by NGF
SET_146	ADP;C16:0_Ceramide_(d18:1);C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C20:0_SM;C22:0_Ceramide_(d18:1);C22:0_SM;C22:1_SM;C24:0_Ceramide_(d18:1);C24:1_Ceramide_(d18:1);C24:1_SM;phosphocholine;phosphoethanolamine;serine;Sphinganine;Sphingosine_1-Phosphate;sphingosine_C8-pos;sphingosine_HILIC-pos	EHMN:Glycosphingolipid metabolism
SET_147	ADP;C16:0_Ceramide_(d18:1);C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C20:0_SM;C22:0_Ceramide_(d18:1);C22:0_SM;C22:1_SM;C24:0_Ceramide_(d18:1);C24:1_Ceramide_(d18:1);C24:1_SM;phosphocholine;sphingosine_C8-pos;sphingosine_HILIC-pos	Reactome:Glycosphingolipid metabolism
SET_148	ADP;C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C20:0_SM;C22:0_SM;C22:1_SM;C24:1_SM;C30:0_PC;C30:1_PC;C32:0_PC;C32:1_PC;C32:2_PC;C34:0_PC;C34:1_PC;C34:2_PC;C34:3_PC;C34:4_PC;C36:0_PC;C36:1_PC;C36:2_PC;C36:3_PC;C36:4_PC-A;C36:4_PC-B;C38:2_PC;C38:3_PC;C38:4_PC;C38:6_PC;C40:10_PC;C40:6_PC;C40:9_PC	Reactome:ABC-family proteins mediated transport|Reactome:ABC transporters in lipid homeostasis
SET_149	ADP;C16:1_CE;C16:1_CE_+NH4;C18:0_CE;C18:0_CE_+NH4;C18:3_CE;C18:3_CE_+NH4;C20:3_CE;C20:3_CE_+NH4;C20:4_CE;C20:4_CE_+NH4;C20:5_CE;C20:5_CE_+NH4;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4	INOH:Steroids metabolism
SET_150	ADP;C16:1_CE;C16:1_CE_+NH4;C18:0_CE;C18:0_CE_+NH4;C18:3_CE;C18:3_CE_+NH4;C20:3_CE;C20:3_CE_+NH4;C20:4_CE;C20:4_CE_+NH4;C20:5_CE;C20:5_CE_+NH4;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4;C32:0_DAG;C32:0_DAG_+NH4;C32:0_PE;C32:1_DAG;C32:1_DAG_+NH4;C32:2_DAG;C34:0_DAG;C34:0_DAG_+NH4;C34:0_PE;C34:2_DAG;C34:2_DAG_+NH4;C34:2_PE;C34:2_PE_plasmalogen;C34:3_DAG;C34:3_DAG_+NH4;C36:0_DAG;C36:0_DAG_+NH4;C36:0_PE;C36:1_PE;C36:1_PE_plasmalogen;C36:2_DAG;C36:2_DAG_+NH4;C36:2_PE;C36:2_PE_plasmalogen;C36:3_DAG;C36:3_DAG_+NH4;C36:3_PE;C36:4_DAG;C36:4_DAG_+NH4;C36:4_PE;C38:2_PE;C38:4_DAG;C38:4_DAG_+NH4;C38:4_PE;C38:5_PE;C38:6_PE;C40:6_PE;C48:1_TAG;C48:1_TAG_+NH4;C48:2_TAG;C48:2_TAG_+NH4;C50:0_TAG;C50:0_TAG_+NH4;C50:1_TAG;C50:1_TAG_+NH4;C50:2_TAG;C50:2_TAG_+NH4;C50:3_TAG;C50:3_TAG_+NH4;C50:4_TAG;C50:4_TAG_+NH4;C51:2_TAG;C51:2_TAG_+NH4;C52:0_TAG;C52:0_TAG_+NH4;C52:1_TAG;C52:1_TAG_+NH4;C52:2_TAG;C52:2_TAG_+NH4;C52:3_TAG;C52:3_TAG_+NH4;C52:4_TAG;C52:4_TAG_+NH4;C52:5_TAG;C52:6_TAG;C52:6_TAG_+NH4;C54:1_TAG;C54:1_TAG_+NH4;C54:2_TAG;C54:2_TAG_+NH4;C54:3_TAG;C54:3_TAG_+NH4;C54:4_TAG;C54:4_TAG_+NH4;C54:5_TAG;C54:6_TAG;C54:7_TAG;C54:7_TAG_+NH4;C56:1_TAG;C56:1_TAG_+NH4;C56:2_TAG;C56:2_TAG_+NH4;C56:3_TAG;C56:3_TAG_+NH4;C56:4_TAG;C56:4_TAG_+NH4;C56:5_TAG;C56:5_TAG_+NH4;C56:6_TAG;C56:6_TAG_+NH4;C56:7_TAG;C56:7_TAG_+NH4;C56:8_TAG;C56:8_TAG_+NH4;C56:9_TAG;C56:9_TAG_+NH4;C58:10_TAG;C58:10_TAG_+NH4;C58:6_TAG;C58:6_TAG_+NH4;C58:7_TAG;C58:7_TAG_+NH4;C58:8_TAG;C58:8_TAG_+NH4;C58:9_TAG;C58:9_TAG_+NH4;C60:12_TAG;C60:12_TAG_+NH4;GDP;Linoleic_acid;methionine;Oleic_acid;Palmitic_acid;Stearic_acid	Reactome:Visual phototransduction
SET_151	ADP;C16:1_CE;C16:1_CE_+NH4;C18:0_CE;C18:0_CE_+NH4;C18:3_CE;C18:3_CE_+NH4;C20:3_CE;C20:3_CE_+NH4;C20:4_CE;C20:4_CE_+NH4;C20:5_CE;C20:5_CE_+NH4;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4;C32:0_DAG;C32:0_DAG_+NH4;C32:0_PE;C32:1_DAG;C32:1_DAG_+NH4;C32:2_DAG;C34:0_DAG;C34:0_DAG_+NH4;C34:0_PE;C34:2_DAG;C34:2_DAG_+NH4;C34:2_PE;C34:2_PE_plasmalogen;C34:3_DAG;C34:3_DAG_+NH4;C36:0_DAG;C36:0_DAG_+NH4;C36:0_PE;C36:1_PE;C36:1_PE_plasmalogen;C36:2_DAG;C36:2_DAG_+NH4;C36:2_PE;C36:2_PE_plasmalogen;C36:3_DAG;C36:3_DAG_+NH4;C36:3_PE;C36:4_DAG;C36:4_DAG_+NH4;C36:4_PE;C38:2_PE;C38:4_DAG;C38:4_DAG_+NH4;C38:4_PE;C38:5_PE;C38:6_PE;C40:6_PE;C48:1_TAG;C48:1_TAG_+NH4;C48:2_TAG;C48:2_TAG_+NH4;C50:0_TAG;C50:0_TAG_+NH4;C50:1_TAG;C50:1_TAG_+NH4;C50:2_TAG;C50:2_TAG_+NH4;C50:3_TAG;C50:3_TAG_+NH4;C50:4_TAG;C50:4_TAG_+NH4;C51:2_TAG;C51:2_TAG_+NH4;C52:0_TAG;C52:0_TAG_+NH4;C52:1_TAG;C52:1_TAG_+NH4;C52:2_TAG;C52:2_TAG_+NH4;C52:3_TAG;C52:3_TAG_+NH4;C52:4_TAG;C52:4_TAG_+NH4;C52:5_TAG;C52:6_TAG;C52:6_TAG_+NH4;C54:1_TAG;C54:1_TAG_+NH4;C54:2_TAG;C54:2_TAG_+NH4;C54:3_TAG;C54:3_TAG_+NH4;C54:4_TAG;C54:4_TAG_+NH4;C54:5_TAG;C54:6_TAG;C54:7_TAG;C54:7_TAG_+NH4;C56:1_TAG;C56:1_TAG_+NH4;C56:2_TAG;C56:2_TAG_+NH4;C56:3_TAG;C56:3_TAG_+NH4;C56:4_TAG;C56:4_TAG_+NH4;C56:5_TAG;C56:5_TAG_+NH4;C56:6_TAG;C56:6_TAG_+NH4;C56:7_TAG;C56:7_TAG_+NH4;C56:8_TAG;C56:8_TAG_+NH4;C56:9_TAG;C56:9_TAG_+NH4;C58:10_TAG;C58:10_TAG_+NH4;C58:6_TAG;C58:6_TAG_+NH4;C58:7_TAG;C58:7_TAG_+NH4;C58:8_TAG;C58:8_TAG_+NH4;C58:9_TAG;C58:9_TAG_+NH4;C60:12_TAG;C60:12_TAG_+NH4;GDP;methionine;Palmitic_acid	Wikipathways:Visual phototransduction
SET_152	ADP;C16:1_CE;C16:1_CE_+NH4;C18:0_CE;C18:0_CE_+NH4;C18:3_CE;C18:3_CE_+NH4;C20:3_CE;C20:3_CE_+NH4;C20:4_CE;C20:4_CE_+NH4;C20:5_CE;C20:5_CE_+NH4;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4;C48:1_TAG;C48:1_TAG_+NH4;C48:2_TAG;C48:2_TAG_+NH4;C50:0_TAG;C50:0_TAG_+NH4;C50:1_TAG;C50:1_TAG_+NH4;C50:2_TAG;C50:2_TAG_+NH4;C50:3_TAG;C50:3_TAG_+NH4;C50:4_TAG;C50:4_TAG_+NH4;C51:2_TAG;C51:2_TAG_+NH4;C52:0_TAG;C52:0_TAG_+NH4;C52:1_TAG;C52:1_TAG_+NH4;C52:2_TAG;C52:2_TAG_+NH4;C52:3_TAG;C52:3_TAG_+NH4;C52:4_TAG;C52:4_TAG_+NH4;C52:5_TAG;C52:6_TAG;C52:6_TAG_+NH4;C54:1_TAG;C54:1_TAG_+NH4;C54:2_TAG;C54:2_TAG_+NH4;C54:3_TAG;C54:3_TAG_+NH4;C54:4_TAG;C54:4_TAG_+NH4;C54:5_TAG;C54:6_TAG;C54:7_TAG;C54:7_TAG_+NH4;C56:1_TAG;C56:1_TAG_+NH4;C56:2_TAG;C56:2_TAG_+NH4;C56:3_TAG;C56:3_TAG_+NH4;C56:4_TAG;C56:4_TAG_+NH4;C56:5_TAG;C56:5_TAG_+NH4;C56:6_TAG;C56:6_TAG_+NH4;C56:7_TAG;C56:7_TAG_+NH4;C56:8_TAG;C56:8_TAG_+NH4;C56:9_TAG;C56:9_TAG_+NH4;C58:10_TAG;C58:10_TAG_+NH4;C58:6_TAG;C58:6_TAG_+NH4;C58:7_TAG;C58:7_TAG_+NH4;C58:8_TAG;C58:8_TAG_+NH4;C58:9_TAG;C58:9_TAG_+NH4;C60:12_TAG;C60:12_TAG_+NH4	Reactome:Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis|Reactome:Platelet sensitization by LDL
SET_153	ADP;C16:1_CE;C16:1_CE_+NH4;C18:0_CE;C18:0_CE_+NH4;C18:3_CE;C18:3_CE_+NH4;C20:3_CE;C20:3_CE_+NH4;C20:4_CE;C20:4_CE_+NH4;C20:5_CE;C20:5_CE_+NH4;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4;C48:1_TAG;C48:1_TAG_+NH4;C48:2_TAG;C48:2_TAG_+NH4;C50:0_TAG;C50:0_TAG_+NH4;C50:1_TAG;C50:1_TAG_+NH4;C50:2_TAG;C50:2_TAG_+NH4;C50:3_TAG;C50:3_TAG_+NH4;C50:4_TAG;C50:4_TAG_+NH4;C51:2_TAG;C51:2_TAG_+NH4;C52:0_TAG;C52:0_TAG_+NH4;C52:1_TAG;C52:1_TAG_+NH4;C52:2_TAG;C52:2_TAG_+NH4;C52:3_TAG;C52:3_TAG_+NH4;C52:4_TAG;C52:4_TAG_+NH4;C52:5_TAG;C52:6_TAG;C52:6_TAG_+NH4;C54:1_TAG;C54:1_TAG_+NH4;C54:2_TAG;C54:2_TAG_+NH4;C54:3_TAG;C54:3_TAG_+NH4;C54:4_TAG;C54:4_TAG_+NH4;C54:5_TAG;C54:6_TAG;C54:7_TAG;C54:7_TAG_+NH4;C56:1_TAG;C56:1_TAG_+NH4;C56:2_TAG;C56:2_TAG_+NH4;C56:3_TAG;C56:3_TAG_+NH4;C56:4_TAG;C56:4_TAG_+NH4;C56:5_TAG;C56:5_TAG_+NH4;C56:6_TAG;C56:6_TAG_+NH4;C56:7_TAG;C56:7_TAG_+NH4;C56:8_TAG;C56:8_TAG_+NH4;C56:9_TAG;C56:9_TAG_+NH4;C58:10_TAG;C58:10_TAG_+NH4;C58:6_TAG;C58:6_TAG_+NH4;C58:7_TAG;C58:7_TAG_+NH4;C58:8_TAG;C58:8_TAG_+NH4;C58:9_TAG;C58:9_TAG_+NH4;C60:12_TAG;C60:12_TAG_+NH4;GDP	Wikipathways:Cell surface interactions at the vascular wall|Reactome:Cell surface interactions at the vascular wall
SET_154	ADP;C16:1_CE;C16:1_CE_+NH4;C18:0_CE;C18:0_CE_+NH4;C18:3_CE;C18:3_CE_+NH4;C20:3_CE;C20:3_CE_+NH4;C20:4_CE;C20:4_CE_+NH4;C20:5_CE;C20:5_CE_+NH4;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4;Chenodeoxycholate;Cholate;Deoxycholate;glycine;Glycochenodeoxycholate;Glycocholate;glycocholate;Glycodeoxycholate;Glycolithocholate;Lithocholate;Palmitic_acid;taurine_HILIC-neg;taurine_HILIC-pos;Taurochenodeoxycholate;Taurodeoxycholate;Taurolithocholate	SMPDB:27-Hydroxylase Deficiency|SMPDB:Congenital Bile Acid Synthesis Defect Type III|SMPDB:Cerebrotendinous Xanthomatosis (CTX)|SMPDB:Familial Hypercholanemia (FHCA)|SMPDB:Bile Acid Biosynthesis|SMPDB:Congenital Bile Acid Synthesis Defect Type II|SMPDB:Zellweger Syndrome
SET_155	ADP;C16_carnitine	Reactome:Import of palmitoyl-CoA into the mitochondrial matrix
SET_156	ADP;C16_carnitine;pyruvate	Wikipathways:Signaling by Retinoic Acid|Reactome:Signaling by Retinoic Acid
SET_157	ADP;C2_carnitine;carnitine;Dodecanoic_acid	SMPDB:Carnitine-acylcarnitine translocase deficiency|SMPDB:Beta Oxidation of Very Long Chain Fatty Acids|SMPDB:Adrenoleukodystrophy, X-linked
SET_158	ADP;C30:0_PC;C30:1_PC;C32:0_DAG;C32:0_DAG_+NH4;C32:0_PC;C32:1_DAG;C32:1_DAG_+NH4;C32:1_PC;C32:2_DAG;C32:2_PC;C34:0_DAG;C34:0_DAG_+NH4;C34:0_PC;C34:1_PC;C34:2_DAG;C34:2_DAG_+NH4;C34:2_PC;C34:3_DAG;C34:3_DAG_+NH4;C34:3_PC;C34:4_PC;C36:0_DAG;C36:0_DAG_+NH4;C36:0_PC;C36:1_PC;C36:2_DAG;C36:2_DAG_+NH4;C36:2_PC;C36:3_DAG;C36:3_DAG_+NH4;C36:3_PC;C36:4_DAG;C36:4_DAG_+NH4;C36:4_PC-A;C36:4_PC-B;C38:2_PC;C38:3_PC;C38:4_DAG;C38:4_DAG_+NH4;C38:4_PC;C38:6_PC;C40:10_PC;C40:6_PC;C40:9_PC;choline	Reactome:Role of phospholipids in phagocytosis
